d.in	d.out	r
1.9625748502994012	33.86377245508982	r.454
2.0104790419161676	33.81586826347306	r.455
1.9221556886227544	33.90419161676647	r.456
1.9595808383233533	33.866766467065865	r.457
1.8637724550898203	33.962574850299404	r.458
1.8188622754491017	34.00748502994012	r.459
1.7290419161676647	34.09730538922156	r.460
1.8188622754491017	34.00748502994012	r.461
1.8233532934131738	34.00299401197605	r.462
1.872754491017964	33.953592814371255	r.463
1.971556886227545	33.854790419161674	r.464
1.9520958083832336	33.874251497005986	r.465
1.8622754491017963	33.964071856287426	r.466
1.9176646706586826	33.90868263473054	r.467
1.8877245508982037	33.93862275449102	r.468
2.019461077844311	33.80688622754491	r.469
1.9595808383233533	33.866766467065865	r.470
2.088323353293413	33.73802395209581	r.471
1.968562874251497	33.85778443113772	r.472
1.8877245508982037	33.93862275449102	r.473
2.0419161676646707	33.78443113772455	r.474
2.0059880239520957	33.82035928143713	r.475
